"recordid","county","year","date","office","surname","prof","ncand","votes","location","writein","totalvotes","raceid","incumb","elected","first","sumvotes","percent"
199800794,"SAN FRANCISCO",1998,1998-11-03,"COUNTY SUPERVISOR","Ammiano","County Board Member",17,120291,"SAN FRANCISCO","0","801490",199800414,"Y",1,"Tom",801490,0.150084218143707
199800795,"SAN FRANCISCO",1998,1998-11-03,"COUNTY SUPERVISOR","Bermudez","Immigrant Rights Organizer",17,23115,"SAN FRANCISCO","0","801490",199800414,"N",2,"Lucrecia",801490,0.0288400354340042
199800796,"SAN FRANCISCO",1998,1998-11-03,"COUNTY SUPERVISOR","Brown","Appointed Board Member",17,67554,"SAN FRANCISCO","0","801490",199800414,"Y",1,"Amos",801490,0.084285518222311
199800797,"SAN FRANCISCO",1998,1998-11-03,"COUNTY SUPERVISOR","Casey","Non-Profit Business Consultant",17,57788,"SAN FRANCISCO","0","801490",199800414,"N",2,"Donna",801490,0.072100712423112
199800798,"SAN FRANCISCO",1998,1998-11-03,"COUNTY SUPERVISOR","D'Anne","Resource Conservation Manager",17,35244,"SAN FRANCISCO","0","801490",199800414,"N",2,"Denise",801490,0.0439731001010618
199800799,"SAN FRANCISCO",1998,1998-11-03,"COUNTY SUPERVISOR","Hobson","No ballot designation",17,8048,"SAN FRANCISCO","0","801490",199800414,"N",2,"Fredrick",801490,0.0100412980823217
199800800,"SAN FRANCISCO",1998,1998-11-03,"COUNTY SUPERVISOR","Leno","Appointed Board Member",17,82449,"SAN FRANCISCO","0","801490",199800414,"Y",1,"Mark",801490,0.102869655267065
199800801,"SAN FRANCISCO",1998,1998-11-03,"COUNTY SUPERVISOR","Lucas","No ballot designation",17,7858,"SAN FRANCISCO","0","801490",199800414,"N",2,"Sam",801490,0.00980423960373804
199800802,"SAN FRANCISCO",1998,1998-11-03,"COUNTY SUPERVISOR","Marquez","Civil Rights Lawyer",17,58935,"SAN FRANCISCO","0","801490",199800414,"N",2,"Victor",801490,0.0735317970280353
199800803,"SAN FRANCISCO",1998,1998-11-03,"COUNTY SUPERVISOR","Newsom","Appointed Board Member",17,109015,"SAN FRANCISCO","0","801490",199800414,"Y",1,"Gavin",801490,0.13601542127787
199800804,"SAN FRANCISCO",1998,1998-11-03,"COUNTY SUPERVISOR","O'Hearn","HIV Prevention Educator",17,17664,"SAN FRANCISCO","0","801490",199800414,"N",2,"Shawn",801490,0.0220389524510599
199800805,"SAN FRANCISCO",1998,1998-11-03,"COUNTY SUPERVISOR","Petroni","Newspaper Editor",17,16293,"SAN FRANCISCO","0","801490",199800414,"N",2,"Carlos",801490,0.0203283883766485
199800806,"SAN FRANCISCO",1998,1998-11-03,"COUNTY SUPERVISOR","Pettigrew","Teacher",17,15049,"SAN FRANCISCO","0","801490",199800414,"N",2,"Len",801490,0.0187762791800272
199800807,"SAN FRANCISCO",1998,1998-11-03,"COUNTY SUPERVISOR","Reid","Entrepreneur/Computer Consultant",17,16902,"SAN FRANCISCO","0","801490",199800414,"N",2,"Jim",801490,0.0210882231843192
199800808,"SAN FRANCISCO",1998,1998-11-03,"COUNTY SUPERVISOR","Stair","Temporary Office Worker",17,11621,"SAN FRANCISCO","0","801490",199800414,"N",2,"Tahnee",801490,0.0144992451558971
199800809,"SAN FRANCISCO",1998,1998-11-03,"COUNTY SUPERVISOR","Teng","County Board Member",17,95093,"SAN FRANCISCO","0","801490",199800414,"Y",1,"Mabel",801490,0.118645273178705
199800810,"SAN FRANCISCO",1998,1998-11-03,"COUNTY SUPERVISOR","Tsai","Radio Host",17,58571,"SAN FRANCISCO","0","801490",199800414,"N",2,"Rose",801490,0.0730776428901172
200000562,"SAN FRANCISCO",2000,2000-11-07,"COUNTY SUPERVISOR","Jungreis","Attorney",5,661,"SAN FRANCISCO","0","23713",200000206,"N",2,"Jason Z.",23713,0.0278750052713701
200000563,"SAN FRANCISCO",2000,2000-11-07,"COUNTY SUPERVISOR","Konopaski","Dentist - Retired",5,2029,"SAN FRANCISCO","0","23713",200000206,"N",2,"Ron ""Dr. K""",23713,0.0855648800236157
200000564,"SAN FRANCISCO",2000,2000-11-07,"COUNTY SUPERVISOR","McGoldrick","College English Teacher",5,6726,"SAN FRANCISCO","0","23713",200000206,"N",2,"Jake",23713,0.283641884198541
200000565,"SAN FRANCISCO",2000,2000-11-07,"COUNTY SUPERVISOR","Tsai","Neighborhood Advocate/Radio Host",5,5241,"SAN FRANCISCO","0","23713",200000206,"N",2,"Rose",23713,0.22101800700038
200000566,"SAN FRANCISCO",2000,2000-11-07,"COUNTY SUPERVISOR","Yaki","Member/Board of Supervisors",5,9056,"SAN FRANCISCO","0","23713",200000206,"Y",1,"Michael",23713,0.381900223506094
200000567,"SAN FRANCISCO",2000,2000-11-07,"COUNTY SUPERVISOR","Newsom","Member/Board of Supervisors",1,26192,"SAN FRANCISCO","0","26192",200000207,"Y",1,"Gavin",26192,1
200000568,"SAN FRANCISCO",2000,2000-11-07,"COUNTY SUPERVISOR","Becerril","Member/San Francisco Board of Supervisors",8,2187,"SAN FRANCISCO","0","20847",200000208,"Y",2,"Alicia",20847,0.104907180889337
200000569,"SAN FRANCISCO",2000,2000-11-07,"COUNTY SUPERVISOR","Chung","Health Care Professional",8,2286,"SAN FRANCISCO","0","20847",200000208,"N",2,"Rose",20847,0.109656065620953
200000570,"SAN FRANCISCO",2000,2000-11-07,"COUNTY SUPERVISOR","Coleman","Attorney/Educator",8,520,"SAN FRANCISCO","0","20847",200000208,"N",2,"Bob",20847,0.024943636974145
200000571,"SAN FRANCISCO",2000,2000-11-07,"COUNTY SUPERVISOR","DeNunzio","Community Projects Consultant",8,2247,"SAN FRANCISCO","0","20847",200000208,"N",2,"Mike",20847,0.107785292847892
200000572,"SAN FRANCISCO",2000,2000-11-07,"COUNTY SUPERVISOR","Jacobucci","No ballot designation",8,349,"SAN FRANCISCO","0","20847",200000208,"N",2,"Pelino ""Paul""",20847,0.0167410178922627
200000573,"SAN FRANCISCO",2000,2000-11-07,"COUNTY SUPERVISOR","Levitan","Community Affairs Director",8,2648,"SAN FRANCISCO","0","20847",200000208,"N",2,"Meagan",20847,0.127020674437569
200000574,"SAN FRANCISCO",2000,2000-11-07,"COUNTY SUPERVISOR","Peskin","President/Environmental Nonprofit",8,7542,"SAN FRANCISCO","0","20847",200000208,"N",1,"Aaron",20847,0.361778673190387
200000575,"SAN FRANCISCO",2000,2000-11-07,"COUNTY SUPERVISOR","Wong","S.F. Community College Board Member",8,3068,"SAN FRANCISCO","0","20847",200000208,"N",2,"Lawrence",20847,0.147167458147455
200000576,"SAN FRANCISCO",2000,2000-11-07,"COUNTY SUPERVISOR","Dudum","Small Businessman",7,3688,"SAN FRANCISCO","0","24287",200000209,"N",2,"Ron",24287,0.151850784370239
200000577,"SAN FRANCISCO",2000,2000-11-07,"COUNTY SUPERVISOR","Honda","No ballot designation",7,823,"SAN FRANCISCO","0","24287",200000209,"N",2,"Darryl",24287,0.0338864413060485
200000578,"SAN FRANCISCO",2000,2000-11-07,"COUNTY SUPERVISOR","Hsieh","Small Business Owner",7,3872,"SAN FRANCISCO","0","24287",200000209,"N",2,"Tom",24287,0.159426853872442
200000579,"SAN FRANCISCO",2000,2000-11-07,"COUNTY SUPERVISOR","Rogers","Husband/Father/Craftsman",7,539,"SAN FRANCISCO","0","24287",200000209,"N",2,"Jeffrey Dilwyn",24287,0.0221929427265615
200000580,"SAN FRANCISCO",2000,2000-11-07,"COUNTY SUPERVISOR","Shanley","Public Relations Specialist",7,4095,"SAN FRANCISCO","0","24287",200000209,"N",2,"John",24287,0.168608720714786
200000581,"SAN FRANCISCO",2000,2000-11-07,"COUNTY SUPERVISOR","Vuong","Teacher",7,656,"SAN FRANCISCO","0","24287",200000209,"N",2,"Vu-Duc",24287,0.027010334746984
200000582,"SAN FRANCISCO",2000,2000-11-07,"COUNTY SUPERVISOR","Yee","Educator/San Francisco Supervisor",7,10614,"SAN FRANCISCO","0","24287",200000209,"Y",1,"Leland",24287,0.437023922262939
200000583,"SAN FRANCISCO",2000,2000-11-07,"COUNTY SUPERVISOR","Anderson","No ballot designation",11,104,"SAN FRANCISCO","0","29721",200000210,"N",2,"Rob",29721,0.00349920931328017
200000584,"SAN FRANCISCO",2000,2000-11-07,"COUNTY SUPERVISOR","Bagi","Restaurateur/Chef",11,739,"SAN FRANCISCO","0","29721",200000210,"N",2,"Jay",29721,0.0248645738703274
200000585,"SAN FRANCISCO",2000,2000-11-07,"COUNTY SUPERVISOR","Barrett","Business Owner",11,320,"SAN FRANCISCO","0","29721",200000210,"N",2,"Demian",29721,0.0107667978870159
200000586,"SAN FRANCISCO",2000,2000-11-07,"COUNTY SUPERVISOR","Gaffney","Public Relations Consultant/Lawyer",11,498,"SAN FRANCISCO","0","29721",200000210,"N",2,"Nicholas",29721,0.0167558292116685
200000587,"SAN FRANCISCO",2000,2000-11-07,"COUNTY SUPERVISOR","Gonzalez","Senior Trial Attorney/Public Defenders Of",11,12640,"SAN FRANCISCO","0","29721",200000210,"N",1,"Matt",29721,0.425288516537129
200000588,"SAN FRANCISCO",2000,2000-11-07,"COUNTY SUPERVISOR","Hongisto","No ballot designation",11,1183,"SAN FRANCISCO","0","29721",200000210,"N",2,"Richard",29721,0.039803505938562
200000589,"SAN FRANCISCO",2000,2000-11-07,"COUNTY SUPERVISOR","Jaicks","TV Director/Producer",11,3584,"SAN FRANCISCO","0","29721",200000210,"N",2,"Agar",29721,0.120588136334578
200000590,"SAN FRANCISCO",2000,2000-11-07,"COUNTY SUPERVISOR","Konopka","Food Service Consultant",11,782,"SAN FRANCISCO","0","29721",200000210,"N",2,"Joe",29721,0.0263113623363951
200000591,"SAN FRANCISCO",2000,2000-11-07,"COUNTY SUPERVISOR","Owens","City College Dean",11,8459,"SAN FRANCISCO","0","29721",200000210,"N",2,"Juanita",29721,0.284613572894586
200000592,"SAN FRANCISCO",2000,2000-11-07,"COUNTY SUPERVISOR","Palmer","Business Systems Consultant",11,162,"SAN FRANCISCO","0","29721",200000210,"N",2,"John D.",29721,0.00545069143030181
200000593,"SAN FRANCISCO",2000,2000-11-07,"COUNTY SUPERVISOR","Turner","Educator/Artist/Businessman",11,1250,"SAN FRANCISCO","0","29721",200000210,"N",2,"Holman",29721,0.0420578042461559
200000594,"SAN FRANCISCO",2000,2000-11-07,"COUNTY SUPERVISOR","Blue","Senior Loan Consultant",17,473,"SAN FRANCISCO","0","18300",200000211,"N",2,"Joseph",18300,0.0258469945355191
200000595,"SAN FRANCISCO",2000,2000-11-07,"COUNTY SUPERVISOR","Brown","No ballot designation",17,182,"SAN FRANCISCO","0","18300",200000211,"N",2,"Harold L.",18300,0.00994535519125683
200000596,"SAN FRANCISCO",2000,2000-11-07,"COUNTY SUPERVISOR","Criswell","Journalist/Cable Talk Show Host",17,49,"SAN FRANCISCO","0","18300",200000211,"N",2,"Gilbert F.",18300,0.0026775956284153
200000597,"SAN FRANCISCO",2000,2000-11-07,"COUNTY SUPERVISOR","D'Anne","Retired Manager/Department of Human Service",17,587,"SAN FRANCISCO","0","18300",200000211,"N",2,"Denise",18300,0.0320765027322404
200000598,"SAN FRANCISCO",2000,2000-11-07,"COUNTY SUPERVISOR","Daly","Affordable Housing Organizer",17,5922,"SAN FRANCISCO","0","18300",200000211,"N",1,"Chris",18300,0.323606557377049
200000599,"SAN FRANCISCO",2000,2000-11-07,"COUNTY SUPERVISOR","Dittenhafer","Commissioner/Bank Manager",17,2852,"SAN FRANCISCO","0","18300",200000211,"N",2,"Chris",18300,0.155846994535519
200000600,"SAN FRANCISCO",2000,2000-11-07,"COUNTY SUPERVISOR","Dunn","Inventor",17,196,"SAN FRANCISCO","0","18300",200000211,"N",2,"James Leo",18300,0.0107103825136612
200000601,"SAN FRANCISCO",2000,2000-11-07,"COUNTY SUPERVISOR","Holland","Property Management/Business Owner",17,196,"SAN FRANCISCO","0","18300",200000211,"N",2,"Brenton",18300,0.0107103825136612
200000602,"SAN FRANCISCO",2000,2000-11-07,"COUNTY SUPERVISOR","Isner","No ballot designation",17,162,"SAN FRANCISCO","0","18300",200000211,"N",2,"Dennis",18300,0.00885245901639344
200000603,"SAN FRANCISCO",2000,2000-11-07,"COUNTY SUPERVISOR","Jenkins","Community Relations Officer",17,357,"SAN FRANCISCO","0","18300",200000211,"N",2,"Garrett",18300,0.0195081967213115
200000604,"SAN FRANCISCO",2000,2000-11-07,"COUNTY SUPERVISOR","Jones","President/Prostate Cancer Nonprofit Corpor",17,729,"SAN FRANCISCO","0","18300",200000211,"N",2,"Davy",18300,0.0398360655737705
200000605,"SAN FRANCISCO",2000,2000-11-07,"COUNTY SUPERVISOR","Magilavy","President/Environmental Nonprofit",17,2135,"SAN FRANCISCO","0","18300",200000211,"N",2,"Beryl",18300,0.116666666666667
200000606,"SAN FRANCISCO",2000,2000-11-07,"COUNTY SUPERVISOR","Reid","Building Contractor",17,397,"SAN FRANCISCO","0","18300",200000211,"N",2,"Jim",18300,0.0216939890710383
200000607,"SAN FRANCISCO",2000,2000-11-07,"COUNTY SUPERVISOR","Roughgarden","Ecologist/Author/Professor",17,468,"SAN FRANCISCO","0","18300",200000211,"N",2,"Joan",18300,0.0255737704918033
200000608,"SAN FRANCISCO",2000,2000-11-07,"COUNTY SUPERVISOR","Saloman","Engineer/Environmentalist",17,490,"SAN FRANCISCO","0","18300",200000211,"N",2,"Marc",18300,0.026775956284153
200000609,"SAN FRANCISCO",2000,2000-11-07,"COUNTY SUPERVISOR","Silver","Attorney/Businesswoman/Mother",17,2607,"SAN FRANCISCO","0","18300",200000211,"N",2,"Carol Ruth",18300,0.142459016393443
200000610,"SAN FRANCISCO",2000,2000-11-07,"COUNTY SUPERVISOR","Wilson","Social Justice Activist",17,498,"SAN FRANCISCO","0","18300",200000211,"N",2,"Hank",18300,0.0272131147540984
200000611,"SAN FRANCISCO",2000,2000-11-07,"COUNTY SUPERVISOR","Hall","City Executive/Administrator",6,6650,"SAN FRANCISCO","0","29844",200000212,"N",2,"Tony",29844,0.222825358531028
200000612,"SAN FRANCISCO",2000,2000-11-07,"COUNTY SUPERVISOR","Hoogasian","Small Business Owner",6,2762,"SAN FRANCISCO","0","29844",200000212,"N",2,"Harold M.",29844,0.0925479158289774
200000613,"SAN FRANCISCO",2000,2000-11-07,"COUNTY SUPERVISOR","Mogannam","Small Businessman/Notary Public",6,464,"SAN FRANCISCO","0","29844",200000212,"N",2,"Maryo",29844,0.0155475137381048
200000614,"SAN FRANCISCO",2000,2000-11-07,"COUNTY SUPERVISOR","O'Brien","Health Care Practitioner",6,3622,"SAN FRANCISCO","0","29844",200000212,"N",2,"Rennie",29844,0.12136442836081
200000615,"SAN FRANCISCO",2000,2000-11-07,"COUNTY SUPERVISOR","Teng","Member/Board of Supervisors",6,13105,"SAN FRANCISCO","0","29844",200000212,"Y",1,"Mabel",29844,0.439116740383327
200000616,"SAN FRANCISCO",2000,2000-11-07,"COUNTY SUPERVISOR","Wilson","Retired USAF Officer",6,3241,"SAN FRANCISCO","0","29844",200000212,"N",2,"Bud",29844,0.108598043157754
200000617,"SAN FRANCISCO",2000,2000-11-07,"COUNTY SUPERVISOR","Bingham","CEO/Internet Company",6,1199,"SAN FRANCISCO","0","33665",200000213,"N",2,"Scott",33665,0.0356156245358681
200000618,"SAN FRANCISCO",2000,2000-11-07,"COUNTY SUPERVISOR","Green","Fire Department Paramedic",6,2027,"SAN FRANCISCO","0","33665",200000213,"N",2,"James",33665,0.0602109015297787
200000619,"SAN FRANCISCO",2000,2000-11-07,"COUNTY SUPERVISOR","Hansen","Public Policy Director",6,11370,"SAN FRANCISCO","0","33665",200000213,"N",2,"Eileen",33665,0.337739492054062
200000620,"SAN FRANCISCO",2000,2000-11-07,"COUNTY SUPERVISOR","Leno","San Francisco Supervisor",6,16834,"SAN FRANCISCO","0","33665",200000213,"Y",1,"Mark",33665,0.500044556661221
200000621,"SAN FRANCISCO",2000,2000-11-07,"COUNTY SUPERVISOR","O'Hearn","HIV Prevention Educator",6,918,"SAN FRANCISCO","0","33665",200000213,"N",2,"Shawn",33665,0.0272686766671617
200000622,"SAN FRANCISCO",2000,2000-11-07,"COUNTY SUPERVISOR","Virginia","AIDS Fundraiser",6,1317,"SAN FRANCISCO","0","33665",200000213,"N",2,"Gary",33665,0.0391207485519085
200000623,"SAN FRANCISCO",2000,2000-11-07,"COUNTY SUPERVISOR","Ammiano","Supervisor",5,14181,"SAN FRANCISCO","0","20738",200000214,"Y",1,"Tom",20738,0.683817147265889
200000624,"SAN FRANCISCO",2000,2000-11-07,"COUNTY SUPERVISOR","Bermudez","No ballot designation",5,1369,"SAN FRANCISCO","0","20738",200000214,"N",2,"Lucrecia",20738,0.0660140804320571
200000625,"SAN FRANCISCO",2000,2000-11-07,"COUNTY SUPERVISOR","Martinez","Citizen's Complaint Officer",5,2934,"SAN FRANCISCO","0","20738",200000214,"N",2,"Maria",20738,0.141479409779149
200000626,"SAN FRANCISCO",2000,2000-11-07,"COUNTY SUPERVISOR","Norlin","Businessman/Entrepreneur",5,1149,"SAN FRANCISCO","0","20738",200000214,"N",2,"Ron",20738,0.0554055357315074
200000627,"SAN FRANCISCO",2000,2000-11-07,"COUNTY SUPERVISOR","Tulier","Community Advocate/Consultant",5,1105,"SAN FRANCISCO","0","20738",200000214,"N",2,"Valerie",20738,0.0532838267913974
200000628,"SAN FRANCISCO",2000,2000-11-07,"COUNTY SUPERVISOR","Banks","Songwriter/Record Producer/Entrepreneur",12,341,"SAN FRANCISCO","0","19382",200000215,"N",2,"Hamp ""Bubba""",19382,0.0175936435868331
200000629,"SAN FRANCISCO",2000,2000-11-07,"COUNTY SUPERVISOR","Bertone","No ballot designation",12,196,"SAN FRANCISCO","0","19382",200000215,"N",2,"Don",19382,0.0101124754927252
200000630,"SAN FRANCISCO",2000,2000-11-07,"COUNTY SUPERVISOR","Chan","Nonprofit Executive Director",12,1492,"SAN FRANCISCO","0","19382",200000215,"N",2,"Robert H.",19382,0.0769786399752348
200000631,"SAN FRANCISCO",2000,2000-11-07,"COUNTY SUPERVISOR","Harrison","Columnist/Arbitrator/Counselor",12,1745,"SAN FRANCISCO","0","19382",200000215,"N",2,"Marie",19382,0.0900319884428852
200000632,"SAN FRANCISCO",2000,2000-11-07,"COUNTY SUPERVISOR","Jackson","Consultant/Community Liaison",12,1671,"SAN FRANCISCO","0","19382",200000215,"N",2,"Espanola",19382,0.0862140130017542
200000633,"SAN FRANCISCO",2000,2000-11-07,"COUNTY SUPERVISOR","Jusino","Insurance Fraud Investigator",12,570,"SAN FRANCISCO","0","19382",200000215,"N",2,"Dwayne",19382,0.0294087297492519
200000634,"SAN FRANCISCO",2000,2000-11-07,"COUNTY SUPERVISOR","Manuel","Businessman/Developer",12,469,"SAN FRANCISCO","0","19382",200000215,"N",2,"J. R.",19382,0.0241977092147353
200000635,"SAN FRANCISCO",2000,2000-11-07,"COUNTY SUPERVISOR","Maxwell","Electrician",12,4042,"SAN FRANCISCO","0","19382",200000215,"N",2,"Sophenia ""Sophi",19382,0.208544009906098
200000636,"SAN FRANCISCO",2000,2000-11-07,"COUNTY SUPERVISOR","Richardson","SF Planning Commissioner",12,6349,"SAN FRANCISCO","0","19382",200000215,"N",1,"Linda",19382,0.327571973996492
200000637,"SAN FRANCISCO",2000,2000-11-07,"COUNTY SUPERVISOR","Rodriguez","Health Care Professional",12,952,"SAN FRANCISCO","0","19382",200000215,"N",2,"Jim",19382,0.0491177381075224
200000638,"SAN FRANCISCO",2000,2000-11-07,"COUNTY SUPERVISOR","Shockey","Civil Rights Attorney",12,779,"SAN FRANCISCO","0","19382",200000215,"N",2,"Larry",19382,0.0401919306573109
200000639,"SAN FRANCISCO",2000,2000-11-07,"COUNTY SUPERVISOR","Yee","Marketing Specialist",12,776,"SAN FRANCISCO","0","19382",200000215,"N",2,"Hubert",19382,0.0400371478691569
200000640,"SAN FRANCISCO",2000,2000-11-07,"COUNTY SUPERVISOR","Brown","Incumbent",9,5600,"SAN FRANCISCO","0","21035",200000216,"Y",2,"Amos",21035,0.266222961730449
200000641,"SAN FRANCISCO",2000,2000-11-07,"COUNTY SUPERVISOR","Currier","Retired Law Office Administrator",9,906,"SAN FRANCISCO","0","21035",200000216,"N",2,"Steven R.",21035,0.0430710720228191
200000642,"SAN FRANCISCO",2000,2000-11-07,"COUNTY SUPERVISOR","Huber","Retired Navy Chief",9,373,"SAN FRANCISCO","0","21035",200000216,"N",2,"John",21035,0.0177323508438317
200000643,"SAN FRANCISCO",2000,2000-11-07,"COUNTY SUPERVISOR","Lim","Businesswoman/Mother",9,4048,"SAN FRANCISCO","0","21035",200000216,"N",2,"Myrna Viray",21035,0.192441169479439
200000644,"SAN FRANCISCO",2000,2000-11-07,"COUNTY SUPERVISOR","McConnell","Parent",9,842,"SAN FRANCISCO","0","21035",200000216,"N",2,"Kathleen",21035,0.0400285238887568
200000645,"SAN FRANCISCO",2000,2000-11-07,"COUNTY SUPERVISOR","Moran","University Purchasing Administrator",9,358,"SAN FRANCISCO","0","21035",200000216,"N",2,"Douglas",21035,0.0170192536249109
200000646,"SAN FRANCISCO",2000,2000-11-07,"COUNTY SUPERVISOR","Petroni","Investigative Journalist",9,494,"SAN FRANCISCO","0","21035",200000216,"N",2,"Carlos",21035,0.0234846684097932
200000647,"SAN FRANCISCO",2000,2000-11-07,"COUNTY SUPERVISOR","Sandoval","Deputy Public Defender",9,6211,"SAN FRANCISCO","0","21035",200000216,"N",1,"Gerardo",21035,0.295269788447825
200000648,"SAN FRANCISCO",2000,2000-11-07,"COUNTY SUPERVISOR","Silverberg","Educators Benefits Coordinator",9,2203,"SAN FRANCISCO","0","21035",200000216,"N",2,"Rebecca Reynold",21035,0.104730211552175
200200994,"SAN FRANCISCO",2002,2002-11-05,"COUNTY SUPERVISOR","Brown","No ballot designation",4,209,"SAN FRANCISCO","48","19899",200200450,"N",2,"H.",19851,0.0105030403537866
200200995,"SAN FRANCISCO",2002,2002-11-05,"COUNTY SUPERVISOR","Newsom","Member/Board of Supervisors",4,15674,"SAN FRANCISCO","48","19899",200200450,"Y",1,"Gavin",19851,0.7876777727524
200200996,"SAN FRANCISCO",2002,2002-11-05,"COUNTY SUPERVISOR","Pettigrew","Teacher",4,821,"SAN FRANCISCO","48","19899",200200450,"N",2,"Len",19851,0.0412583546911905
