"Location","Year","Series","Series Code","Permits"
"ELK GROVE",2019,"Units in Single-Family Structures",2.0,764.0
"ELK GROVE",2019,"Units in All Multi-Family Structures",3.0,0
"EMERYVILLE",2019,"Total Units",1.0,1.0
"EMERYVILLE",2019,"Units in Single-Family Structures",2.0,1.0
"EMERYVILLE",2019,"Units in All Multi-Family Structures",3.0,0
"ENCINITAS",2019,"Total Units",1.0,185.0
"ENCINITAS",2019,"Units in Single-Family Structures",2.0,185.0
"ENCINITAS",2019,"Units in All Multi-Family Structures",3.0,0
"ESCALON",2019,"Total Units",1.0,9.0
"ESCALON",2019,"Units in Single-Family Structures",2.0,9.0
"ESCALON",2019,"Units in All Multi-Family Structures",3.0,0
"ESCONDIDO",2019,"Total Units",1.0,23.0
"ESCONDIDO",2019,"Units in Single-Family Structures",2.0,23.0
"ESCONDIDO",2019,"Units in All Multi-Family Structures",3.0,0
"ETNA",2019,"Total Units",1.0,0
"ETNA",2019,"Units in Single-Family Structures",2.0,0
"ETNA",2019,"Units in All Multi-Family Structures",3.0,0
"EUREKA",2019,"Total Units",1.0,4.0
"EUREKA",2019,"Units in Single-Family Structures",2.0,4.0
"EUREKA",2019,"Units in All Multi-Family Structures",3.0,0
"EXETER",2019,"Total Units",1.0,0
"EXETER",2019,"Units in Single-Family Structures",2.0,0
"EXETER",2019,"Units in All Multi-Family Structures",3.0,0
"FAIRFAX TOWN",2019,"Total Units",1.0,0
"FAIRFAX TOWN",2019,"Units in Single-Family Structures",2.0,0
"FAIRFAX TOWN",2019,"Units in All Multi-Family Structures",3.0,0
"FAIRFIELD",2019,"Total Units",1.0,348.0
"FAIRFIELD",2019,"Units in Single-Family Structures",2.0,348.0
"FAIRFIELD",2019,"Units in All Multi-Family Structures",3.0,0
"FARMERSVILLE",2019,"Total Units",1.0,0
"FARMERSVILLE",2019,"Units in Single-Family Structures",2.0,0
"FARMERSVILLE",2019,"Units in All Multi-Family Structures",3.0,0
"FERNDALE",2019,"Total Units",1.0,4.0
"FERNDALE",2019,"Units in Single-Family Structures",2.0,4.0
"FERNDALE",2019,"Units in All Multi-Family Structures",3.0,0
"FILLMORE",2019,"Total Units",1.0,94.0
"FILLMORE",2019,"Units in Single-Family Structures",2.0,94.0
"FILLMORE",2019,"Units in All Multi-Family Structures",3.0,0
"Location","Year","Series","Series Code","Permits"
"FIREBAUGH",2019,"Total Units",1.0,2.0
"FIREBAUGH",2019,"Units in Single-Family Structures",2.0,2.0
"FIREBAUGH",2019,"Units in All Multi-Family Structures",3.0,0
"FOLSOM",2019,"Total Units",1.0,681.0
"FOLSOM",2019,"Units in Single-Family Structures",2.0,453.0
"FOLSOM",2019,"Units in All Multi-Family Structures",3.0,228.0
"FONTANA",2019,"Total Units",1.0,836.0
"FONTANA",2019,"Units in Single-Family Structures",2.0,642.0
"FONTANA",2019,"Units in All Multi-Family Structures",3.0,194.0
"FORT BRAGG",2019,"Total Units",1.0,0
"FORT BRAGG",2019,"Units in Single-Family Structures",2.0,0
"FORT BRAGG",2019,"Units in All Multi-Family Structures",3.0,0
"FORT JONES",2019,"Total Units",1.0,0
"FORT JONES",2019,"Units in Single-Family Structures",2.0,0
"FORT JONES",2019,"Units in All Multi-Family Structures",3.0,0
"FORTUNA",2019,"Total Units",1.0,24.0
"FORTUNA",2019,"Units in Single-Family Structures",2.0,20.0
"FORTUNA",2019,"Units in All Multi-Family Structures",3.0,4.0
"FOSTER CITY",2019,"Total Units",1.0,20.0
"FOSTER CITY",2019,"Units in Single-Family Structures",2.0,20.0
"FOSTER CITY",2019,"Units in All Multi-Family Structures",3.0,0
"FOUNTAIN VALLEY",2019,"Total Units",1.0,130.0
"FOUNTAIN VALLEY",2019,"Units in Single-Family Structures",2.0,24.0
"FOUNTAIN VALLEY",2019,"Units in All Multi-Family Structures",3.0,106.0
"FOWLER",2019,"Total Units",1.0,51.0
"FOWLER",2019,"Units in Single-Family Structures",2.0,51.0
"FOWLER",2019,"Units in All Multi-Family Structures",3.0,0
"FREMONT",2019,"Total Units",1.0,1148.0
"FREMONT",2019,"Units in Single-Family Structures",2.0,169.0
"FREMONT",2019,"Units in All Multi-Family Structures",3.0,979.0
"FRESNO",2019,"Total Units",1.0,1611.0
"FRESNO",2019,"Units in Single-Family Structures",2.0,1153.0
"FRESNO",2019,"Units in All Multi-Family Structures",3.0,458.0
"FRESNO COUNTY UNINCORPORATED AREA",2019,"Total Units",1.0,140.0
"FRESNO COUNTY UNINCORPORATED AREA",2019,"Units in Single-Family Structures",2.0,140.0
"FRESNO COUNTY UNINCORPORATED AREA",2019,"Units in All Multi-Family Structures",3.0,0
"FULLERTON",2019,"Total Units",1.0,423.0
"FULLERTON",2019,"Units in Single-Family Structures",2.0,23.0
"FULLERTON",2019,"Units in All Multi-Family Structures",3.0,400.0
"GALT",2019,"Total Units",1.0,57.0
"GALT",2019,"Units in Single-Family Structures",2.0,57.0
"GALT",2019,"Units in All Multi-Family Structures",3.0,0
"GARDEN GROVE",2019,"Total Units",1.0,577.0
"GARDEN GROVE",2019,"Units in Single-Family Structures",2.0,169.0
"GARDEN GROVE",2019,"Units in All Multi-Family Structures",3.0,408.0
"GARDENA",2019,"Total Units",1.0,43.0
"GARDENA",2019,"Units in Single-Family Structures",2.0,43.0
"GARDENA",2019,"Units in All Multi-Family Structures",3.0,0
"GILROY",2019,"Total Units",1.0,191.0
"GILROY",2019,"Units in Single-Family Structures",2.0,191.0
"GILROY",2019,"Units in All Multi-Family Structures",3.0,0
"GLENDALE",2019,"Total Units",1.0,200.0
"GLENDALE",2019,"Units in Single-Family Structures",2.0,138.0
"GLENDALE",2019,"Units in All Multi-Family Structures",3.0,62.0
"GLENDORA",2019,"Total Units",1.0,41.0
"GLENDORA",2019,"Units in Single-Family Structures",2.0,41.0
"GLENDORA",2019,"Units in All Multi-Family Structures",3.0,0
"GLENN COUNTY UNINCORPORATED AREA",2019,"Total Units",1.0,22.0
"GLENN COUNTY UNINCORPORATED AREA",2019,"Units in Single-Family Structures",2.0,18.0
"GLENN COUNTY UNINCORPORATED AREA",2019,"Units in All Multi-Family Structures",3.0,4.0
"GOLETA",2019,"Total Units",1.0,154.0
"GOLETA",2019,"Units in Single-Family Structures",2.0,146.0
"GOLETA",2019,"Units in All Multi-Family Structures",3.0,8.0
"GONZALES",2019,"Total Units",1.0,0
"GONZALES",2019,"Units in Single-Family Structures",2.0,0
"GONZALES",2019,"Units in All Multi-Family Structures",3.0,0
"GRAND TERRACE",2019,"Total Units",1.0,18.0
"GRAND TERRACE",2019,"Units in Single-Family Structures",2.0,18.0
"GRAND TERRACE",2019,"Units in All Multi-Family Structures",3.0,0
"GRASS VALLEY",2019,"Total Units",1.0,52.0
"GRASS VALLEY",2019,"Units in Single-Family Structures",2.0,24.0
"GRASS VALLEY",2019,"Units in All Multi-Family Structures",3.0,28.0
"GREENFIELD",2019,"Total Units",1.0,10.0
"GREENFIELD",2019,"Units in Single-Family Structures",2.0,10.0
"GREENFIELD",2019,"Units in All Multi-Family Structures",3.0,0
"GRIDLEY",2019,"Total Units",1.0,0
"GRIDLEY",2019,"Units in Single-Family Structures",2.0,0
"GRIDLEY",2019,"Units in All Multi-Family Structures",3.0,0
"GROVER BEACH",2019,"Total Units",1.0,50.0
"GROVER BEACH",2019,"Units in Single-Family Structures",2.0,31.0
"GROVER BEACH",2019,"Units in All Multi-Family Structures",3.0,19.0
"GUADALUPE",2019,"Total Units",1.0,119.0
"GUADALUPE",2019,"Units in Single-Family Structures",2.0,102.0
"GUADALUPE",2019,"Units in All Multi-Family Structures",3.0,17.0
"GUSTINE",2019,"Total Units",1.0,5.0
"GUSTINE",2019,"Units in Single-Family Structures",2.0,5.0
"GUSTINE",2019,"Units in All Multi-Family Structures",3.0,0
"HALF MOON BAY",2019,"Total Units",1.0,8.0
"HALF MOON BAY",2019,"Units in Single-Family Structures",2.0,6.0
"HALF MOON BAY",2019,"Units in All Multi-Family Structures",3.0,2.0
"Location","Year","Series","Series Code","Permits"
"HANFORD",2019,"Total Units",1.0,235.0
"HANFORD",2019,"Units in Single-Family Structures",2.0,210.0
"HANFORD",2019,"Units in All Multi-Family Structures",3.0,25.0
"HAWAIIAN GARDENS",2019,"Total Units",1.0,5.0
"HAWAIIAN GARDENS",2019,"Units in Single-Family Structures",2.0,5.0
"HAWAIIAN GARDENS",2019,"Units in All Multi-Family Structures",3.0,0
"HAWTHORNE",2019,"Total Units",1.0,31.0
"HAWTHORNE",2019,"Units in Single-Family Structures",2.0,26.0
"HAWTHORNE",2019,"Units in All Multi-Family Structures",3.0,5.0
"HAYWARD",2019,"Total Units",1.0,1348.0
"HAYWARD",2019,"Units in Single-Family Structures",2.0,695.0
"HAYWARD",2019,"Units in All Multi-Family Structures",3.0,653.0
"HEALDSBURG",2019,"Total Units",1.0,26.0
"HEALDSBURG",2019,"Units in Single-Family Structures",2.0,26.0
"HEALDSBURG",2019,"Units in All Multi-Family Structures",3.0,0
"HEMET",2019,"Total Units",1.0,76.0
"HEMET",2019,"Units in Single-Family Structures",2.0,76.0
"HEMET",2019,"Units in All Multi-Family Structures",3.0,0
"HERCULES",2019,"Total Units",1.0,0
"HERCULES",2019,"Units in Single-Family Structures",2.0,0
"HERCULES",2019,"Units in All Multi-Family Structures",3.0,0
"HERMOSA BEACH",2019,"Total Units",1.0,42.0
"HERMOSA BEACH",2019,"Units in Single-Family Structures",2.0,42.0
"HERMOSA BEACH",2019,"Units in All Multi-Family Structures",3.0,0
"HESPERIA",2019,"Total Units",1.0,391.0
"HESPERIA",2019,"Units in Single-Family Structures",2.0,200.0
"HESPERIA",2019,"Units in All Multi-Family Structures",3.0,191.0
"HIDDEN HILLS",2019,"Total Units",1.0,10.0
"HIDDEN HILLS",2019,"Units in Single-Family Structures",2.0,10.0
"HIDDEN HILLS",2019,"Units in All Multi-Family Structures",3.0,0
"HIGHLAND",2019,"Total Units",1.0,62.0
"HIGHLAND",2019,"Units in Single-Family Structures",2.0,62.0
"HIGHLAND",2019,"Units in All Multi-Family Structures",3.0,0
"HILLSBOROUGH TOWN",2019,"Total Units",1.0,8.0
"HILLSBOROUGH TOWN",2019,"Units in Single-Family Structures",2.0,8.0
"HILLSBOROUGH TOWN",2019,"Units in All Multi-Family Structures",3.0,0
"HOLLISTER",2019,"Total Units",1.0,422.0
"HOLLISTER",2019,"Units in Single-Family Structures",2.0,417.0
"HOLLISTER",2019,"Units in All Multi-Family Structures",3.0,5.0
"HOLTVILLE",2019,"Total Units",1.0,1.0
"HOLTVILLE",2019,"Units in Single-Family Structures",2.0,1.0
"HOLTVILLE",2019,"Units in All Multi-Family Structures",3.0,0
"HUGHSON",2019,"Total Units",1.0,20.0
"HUGHSON",2019,"Units in Single-Family Structures",2.0,20.0
"HUGHSON",2019,"Units in All Multi-Family Structures",3.0,0
"HUMBOLDT COUNTY UNINCORPORATED AREA",2019,"Total Units",1.0,296.0
"HUMBOLDT COUNTY UNINCORPORATED AREA",2019,"Units in Single-Family Structures",2.0,202.0
"HUMBOLDT COUNTY UNINCORPORATED AREA",2019,"Units in All Multi-Family Structures",3.0,94.0
"HUNTINGTON BEACH",2019,"Total Units",1.0,165.0
"HUNTINGTON BEACH",2019,"Units in Single-Family Structures",2.0,154.0
"HUNTINGTON BEACH",2019,"Units in All Multi-Family Structures",3.0,11.0
"HUNTINGTON PARK",2019,"Total Units",1.0,3.0
"HUNTINGTON PARK",2019,"Units in Single-Family Structures",2.0,3.0
"HUNTINGTON PARK",2019,"Units in All Multi-Family Structures",3.0,0
"HURON",2019,"Total Units",1.0,18.0
"HURON",2019,"Units in Single-Family Structures",2.0,18.0
"HURON",2019,"Units in All Multi-Family Structures",3.0,0
"IMPERIAL",2019,"Total Units",1.0,178.0
"IMPERIAL",2019,"Units in Single-Family Structures",2.0,178.0
"IMPERIAL",2019,"Units in All Multi-Family Structures",3.0,0
"IMPERIAL BEACH",2019,"Total Units",1.0,18.0
"IMPERIAL BEACH",2019,"Units in Single-Family Structures",2.0,18.0
"IMPERIAL BEACH",2019,"Units in All Multi-Family Structures",3.0,0
"IMPERIAL COUNTY UNINCORPORATED AREA",2019,"Total Units",1.0,10.0
"IMPERIAL COUNTY UNINCORPORATED AREA",2019,"Units in Single-Family Structures",2.0,10.0
"IMPERIAL COUNTY UNINCORPORATED AREA",2019,"Units in All Multi-Family Structures",3.0,0
"INDIAN WELLS",2019,"Total Units",1.0,77.0
"INDIAN WELLS",2019,"Units in Single-Family Structures",2.0,77.0
"INDIAN WELLS",2019,"Units in All Multi-Family Structures",3.0,0
"INDIO",2019,"Total Units",1.0,261.0
"INDIO",2019,"Units in Single-Family Structures",2.0,261.0
"INDIO",2019,"Units in All Multi-Family Structures",3.0,0
"INDUSTRY",2019,"Total Units",1.0,0
"INDUSTRY",2019,"Units in Single-Family Structures",2.0,0
"INDUSTRY",2019,"Units in All Multi-Family Structures",3.0,0
"INGLEWOOD",2019,"Total Units",1.0,25.0
"INGLEWOOD",2019,"Units in Single-Family Structures",2.0,3.0
"INGLEWOOD",2019,"Units in All Multi-Family Structures",3.0,22.0
"INYO COUNTY UNINCORPORATED AREA",2019,"Total Units",1.0,7.0
"INYO COUNTY UNINCORPORATED AREA",2019,"Units in Single-Family Structures",2.0,7.0
"INYO COUNTY UNINCORPORATED AREA",2019,"Units in All Multi-Family Structures",3.0,0
"IONE",2019,"Total Units",1.0,59.0
"IONE",2019,"Units in Single-Family Structures",2.0,59.0
"IONE",2019,"Units in All Multi-Family Structures",3.0,0
"IRVINE",2019,"Total Units",1.0,2509.0
"IRVINE",2019,"Units in Single-Family Structures",2.0,918.0
"IRVINE",2019,"Units in All Multi-Family Structures",3.0,1591.0
"IRWINDALE",2019,"Total Units",1.0,6.0
"IRWINDALE",2019,"Units in Single-Family Structures",2.0,6.0
"IRWINDALE",2019,"Units in All Multi-Family Structures",3.0,0
"Location","Year","Series","Series Code","Permits"
"ISLETON",2019,"Total Units",1.0,0
"ISLETON",2019,"Units in Single-Family Structures",2.0,0
"ISLETON",2019,"Units in All Multi-Family Structures",3.0,0
"JACKSON",2019,"Total Units",1.0,22.0
"JACKSON",2019,"Units in Single-Family Structures",2.0,22.0
"JACKSON",2019,"Units in All Multi-Family Structures",3.0,0
"JURUPA VALLEY",2019,"Total Units",1.0,355.0
"JURUPA VALLEY",2019,"Units in Single-Family Structures",2.0,355.0
"JURUPA VALLEY",2019,"Units in All Multi-Family Structures",3.0,0
"KERMAN",2019,"Total Units",1.0,132.0
"KERMAN",2019,"Units in Single-Family Structures",2.0,71.0
"KERMAN",2019,"Units in All Multi-Family Structures",3.0,61.0
"KERN COUNTY UNINCORPORATED AREA",2019,"Total Units",1.0,229.0
"KERN COUNTY UNINCORPORATED AREA",2019,"Units in Single-Family Structures",2.0,229.0
"KERN COUNTY UNINCORPORATED AREA",2019,"Units in All Multi-Family Structures",3.0,0
"KING CITY",2019,"Total Units",1.0,19.0
"KING CITY",2019,"Units in Single-Family Structures",2.0,19.0
"KING CITY",2019,"Units in All Multi-Family Structures",3.0,0
"KINGS COUNTY UNINCORPORATED AREA",2019,"Total Units",1.0,24.0
"KINGS COUNTY UNINCORPORATED AREA",2019,"Units in Single-Family Structures",2.0,24.0
"KINGS COUNTY UNINCORPORATED AREA",2019,"Units in All Multi-Family Structures",3.0,0
"KINGSBURG",2019,"Total Units",1.0,84.0
"KINGSBURG",2019,"Units in Single-Family Structures",2.0,33.0
"KINGSBURG",2019,"Units in All Multi-Family Structures",3.0,51.0
"LA CANADA FLINTRIDGE",2019,"Total Units",1.0,13.0
"LA CANADA FLINTRIDGE",2019,"Units in Single-Family Structures",2.0,13.0
"LA CANADA FLINTRIDGE",2019,"Units in All Multi-Family Structures",3.0,0
"LA HABRA",2019,"Total Units",1.0,29.0
"LA HABRA",2019,"Units in Single-Family Structures",2.0,29.0
"LA HABRA",2019,"Units in All Multi-Family Structures",3.0,0
"LA HABRA HEIGHTS",2019,"Total Units",1.0,2.0
"LA HABRA HEIGHTS",2019,"Units in Single-Family Structures",2.0,2.0
"LA HABRA HEIGHTS",2019,"Units in All Multi-Family Structures",3.0,0
"LA MESA",2019,"Total Units",1.0,202.0
"LA MESA",2019,"Units in Single-Family Structures",2.0,15.0
"LA MESA",2019,"Units in All Multi-Family Structures",3.0,187.0
"LA MIRADA",2019,"Total Units",1.0,7.0
"LA MIRADA",2019,"Units in Single-Family Structures",2.0,7.0
"LA MIRADA",2019,"Units in All Multi-Family Structures",3.0,0
"LA PALMA",2019,"Total Units",1.0,0
"LA PALMA",2019,"Units in Single-Family Structures",2.0,0
"LA PALMA",2019,"Units in All Multi-Family Structures",3.0,0
"LA PUENTE",2019,"Total Units",1.0,18.0
"LA PUENTE",2019,"Units in Single-Family Structures",2.0,18.0
"LA PUENTE",2019,"Units in All Multi-Family Structures",3.0,0
"LA QUINTA",2019,"Total Units",1.0,139.0
"LA QUINTA",2019,"Units in Single-Family Structures",2.0,139.0
"LA QUINTA",2019,"Units in All Multi-Family Structures",3.0,0
"LA VERNE",2019,"Total Units",1.0,6.0
"LA VERNE",2019,"Units in Single-Family Structures",2.0,6.0
"LA VERNE",2019,"Units in All Multi-Family Structures",3.0,0
"LAGUNA BEACH",2019,"Total Units",1.0,22.0
"LAGUNA BEACH",2019,"Units in Single-Family Structures",2.0,22.0
"LAGUNA BEACH",2019,"Units in All Multi-Family Structures",3.0,0
"LAGUNA HILLS",2019,"Total Units",1.0,3.0
"LAGUNA HILLS",2019,"Units in Single-Family Structures",2.0,3.0
"LAGUNA HILLS",2019,"Units in All Multi-Family Structures",3.0,0
"LAGUNA NIGUEL",2019,"Total Units",1.0,279.0
"LAGUNA NIGUEL",2019,"Units in Single-Family Structures",2.0,5.0
"LAGUNA NIGUEL",2019,"Units in All Multi-Family Structures",3.0,274.0
"LAGUNA WOODS",2019,"Total Units",1.0,0
"LAGUNA WOODS",2019,"Units in Single-Family Structures",2.0,0
"LAGUNA WOODS",2019,"Units in All Multi-Family Structures",3.0,0
"LAKE COUNTY UNINCORPORATED AREA",2019,"Total Units",1.0,71.0
"LAKE COUNTY UNINCORPORATED AREA",2019,"Units in Single-Family Structures",2.0,71.0
"LAKE COUNTY UNINCORPORATED AREA",2019,"Units in All Multi-Family Structures",3.0,0
"LAKE ELSINORE",2019,"Total Units",1.0,397.0
"LAKE ELSINORE",2019,"Units in Single-Family Structures",2.0,314.0
"LAKE ELSINORE",2019,"Units in All Multi-Family Structures",3.0,83.0
"LAKE FOREST",2019,"Total Units",1.0,416.0
"LAKE FOREST",2019,"Units in Single-Family Structures",2.0,358.0
"LAKE FOREST",2019,"Units in All Multi-Family Structures",3.0,58.0
"LAKEPORT",2019,"Total Units",1.0,0
"LAKEPORT",2019,"Units in Single-Family Structures",2.0,0
"LAKEPORT",2019,"Units in All Multi-Family Structures",3.0,0
"LAKEWOOD",2019,"Total Units",1.0,31.0
"LAKEWOOD",2019,"Units in Single-Family Structures",2.0,7.0
"LAKEWOOD",2019,"Units in All Multi-Family Structures",3.0,24.0
"LANCASTER",2019,"Total Units",1.0,258.0
"LANCASTER",2019,"Units in Single-Family Structures",2.0,207.0
"LANCASTER",2019,"Units in All Multi-Family Structures",3.0,51.0
"LARKSPUR",2019,"Total Units",1.0,1.0
"LARKSPUR",2019,"Units in Single-Family Structures",2.0,1.0
"LARKSPUR",2019,"Units in All Multi-Family Structures",3.0,0
"LASSEN COUNTY UNINCORPORATED AREA",2019,"Total Units",1.0,4.0
"LASSEN COUNTY UNINCORPORATED AREA",2019,"Units in Single-Family Structures",2.0,4.0
"LASSEN COUNTY UNINCORPORATED AREA",2019,"Units in All Multi-Family Structures",3.0,0
"LATHROP",2019,"Total Units",1.0,425.0
"LATHROP",2019,"Units in Single-Family Structures",2.0,398.0
"LATHROP",2019,"Units in All Multi-Family Structures",3.0,27.0
"Location","Year","Series","Series Code","Permits"
"LAWNDALE",2019,"Total Units",1.0,8.0
"LAWNDALE",2019,"Units in Single-Family Structures",2.0,6.0
"LAWNDALE",2019,"Units in All Multi-Family Structures",3.0,2.0
"LEMON GROVE",2019,"Total Units",1.0,6.0
"LEMON GROVE",2019,"Units in Single-Family Structures",2.0,6.0
"LEMON GROVE",2019,"Units in All Multi-Family Structures",3.0,0
"LEMOORE",2019,"Total Units",1.0,82.0
"LEMOORE",2019,"Units in Single-Family Structures",2.0,82.0
"LEMOORE",2019,"Units in All Multi-Family Structures",3.0,0
"LINCOLN",2019,"Total Units",1.0,260.0
"LINCOLN",2019,"Units in Single-Family Structures",2.0,260.0
"LINCOLN",2019,"Units in All Multi-Family Structures",3.0,0
"LINDSAY",2019,"Total Units",1.0,9.0
"LINDSAY",2019,"Units in Single-Family Structures",2.0,9.0
"LINDSAY",2019,"Units in All Multi-Family Structures",3.0,0
"LIVE OAK",2019,"Total Units",1.0,75.0
"LIVE OAK",2019,"Units in Single-Family Structures",2.0,51.0
"LIVE OAK",2019,"Units in All Multi-Family Structures",3.0,24.0
"LIVERMORE",2019,"Total Units",1.0,102.0
"LIVERMORE",2019,"Units in Single-Family Structures",2.0,53.0
"LIVERMORE",2019,"Units in All Multi-Family Structures",3.0,49.0
"LIVINGSTON",2019,"Total Units",1.0,67.0
"LIVINGSTON",2019,"Units in Single-Family Structures",2.0,67.0
"LIVINGSTON",2019,"Units in All Multi-Family Structures",3.0,0
"LODI",2019,"Total Units",1.0,403.0
"LODI",2019,"Units in Single-Family Structures",2.0,119.0
"LODI",2019,"Units in All Multi-Family Structures",3.0,284.0
"LOMA LINDA",2019,"Total Units",1.0,89.0
"LOMA LINDA",2019,"Units in Single-Family Structures",2.0,19.0
"LOMA LINDA",2019,"Units in All Multi-Family Structures",3.0,70.0
"LOMITA",2019,"Total Units",1.0,23.0
"LOMITA",2019,"Units in Single-Family Structures",2.0,16.0
"LOMITA",2019,"Units in All Multi-Family Structures",3.0,7.0
"LOMPOC",2019,"Total Units",1.0,5.0
"LOMPOC",2019,"Units in Single-Family Structures",2.0,5.0
"LOMPOC",2019,"Units in All Multi-Family Structures",3.0,0
"LONG BEACH",2019,"Total Units",1.0,1161.0
"LONG BEACH",2019,"Units in Single-Family Structures",2.0,100.0
"LONG BEACH",2019,"Units in All Multi-Family Structures",3.0,1061.0
"LOOMIS TOWN",2019,"Total Units",1.0,4.0
"LOOMIS TOWN",2019,"Units in Single-Family Structures",2.0,4.0
"LOOMIS TOWN",2019,"Units in All Multi-Family Structures",3.0,0
"LOS ALAMITOS",2019,"Total Units",1.0,26.0
"LOS ALAMITOS",2019,"Units in Single-Family Structures",2.0,0
"LOS ALAMITOS",2019,"Units in All Multi-Family Structures",3.0,26.0
"LOS ALTOS",2019,"Total Units",1.0,53.0
"LOS ALTOS",2019,"Units in Single-Family Structures",2.0,53.0
"LOS ALTOS",2019,"Units in All Multi-Family Structures",3.0,0
"LOS ALTOS HILLS TOWN",2019,"Total Units",1.0,11.0
"LOS ALTOS HILLS TOWN",2019,"Units in Single-Family Structures",2.0,11.0
"LOS ALTOS HILLS TOWN",2019,"Units in All Multi-Family Structures",3.0,0
"LOS ANGELES",2019,"Total Units",1.0,14387.0
"LOS ANGELES",2019,"Units in Single-Family Structures",2.0,2647.0
"LOS ANGELES",2019,"Units in All Multi-Family Structures",3.0,11740.0
"LOS ANGELES COUNTY UNINCORPORATED AREA",2019,"Total Units",1.0,924.0
"LOS ANGELES COUNTY UNINCORPORATED AREA",2019,"Units in Single-Family Structures",2.0,538.0
"LOS ANGELES COUNTY UNINCORPORATED AREA",2019,"Units in All Multi-Family Structures",3.0,386.0
"LOS BANOS",2019,"Total Units",1.0,95.0
"LOS BANOS",2019,"Units in Single-Family Structures",2.0,95.0
"LOS BANOS",2019,"Units in All Multi-Family Structures",3.0,0
"LOS GATOS TOWN",2019,"Total Units",1.0,29.0
"LOS GATOS TOWN",2019,"Units in Single-Family Structures",2.0,25.0
"LOS GATOS TOWN",2019,"Units in All Multi-Family Structures",3.0,4.0
"LOYALTON",2019,"Total Units",1.0,0
"LOYALTON",2019,"Units in Single-Family Structures",2.0,0
"LOYALTON",2019,"Units in All Multi-Family Structures",3.0,0
"LYNWOOD",2019,"Total Units",1.0,20.0
"LYNWOOD",2019,"Units in Single-Family Structures",2.0,14.0
"LYNWOOD",2019,"Units in All Multi-Family Structures",3.0,6.0
"MADERA",2019,"Total Units",1.0,171.0
"MADERA",2019,"Units in Single-Family Structures",2.0,171.0
"MADERA",2019,"Units in All Multi-Family Structures",3.0,0
"MADERA COUNTY UNINCORPORATED AREA",2019,"Total Units",1.0,462.0
"MADERA COUNTY UNINCORPORATED AREA",2019,"Units in Single-Family Structures",2.0,462.0
"MADERA COUNTY UNINCORPORATED AREA",2019,"Units in All Multi-Family Structures",3.0,0
"MALIBU",2019,"Total Units",1.0,64.0
"MALIBU",2019,"Units in Single-Family Structures",2.0,64.0
"MALIBU",2019,"Units in All Multi-Family Structures",3.0,0
"MAMMOTH LAKES TOWN",2019,"Total Units",1.0,40.0
"MAMMOTH LAKES TOWN",2019,"Units in Single-Family Structures",2.0,32.0
"MAMMOTH LAKES TOWN",2019,"Units in All Multi-Family Structures",3.0,8.0
"MANHATTAN BEACH",2019,"Total Units",1.0,98.0
"MANHATTAN BEACH",2019,"Units in Single-Family Structures",2.0,96.0
"MANHATTAN BEACH",2019,"Units in All Multi-Family Structures",3.0,2.0
"MANTECA",2019,"Total Units",1.0,689.0
"MANTECA",2019,"Units in Single-Family Structures",2.0,517.0
"MANTECA",2019,"Units in All Multi-Family Structures",3.0,172.0
"MARICOPA",2019,"Total Units",1.0,0
"MARICOPA",2019,"Units in Single-Family Structures",2.0,0
"MARICOPA",2019,"Units in All Multi-Family Structures",3.0,0
"Location","Year","Series","Series Code","Permits"
"MARIN COUNTY UNINCORPORATED AREA",2019,"Total Units",1.0,49.0
"MARIN COUNTY UNINCORPORATED AREA",2019,"Units in Single-Family Structures",2.0,49.0
"MARIN COUNTY UNINCORPORATED AREA",2019,"Units in All Multi-Family Structures",3.0,0
"MARINA",2019,"Total Units",1.0,34.0
"MARINA",2019,"Units in Single-Family Structures",2.0,34.0
"MARINA",2019,"Units in All Multi-Family Structures",3.0,0
"MARIPOSA COUNTY",2019,"Total Units",1.0,35.0
