"GEO_ID","NAME","B25077_001E","B25077_001M"
"id","Geographic Area Name","Estimate!!Median value (dollars)","Margin of Error!!Median value (dollars)"
"1600000US0600156","Acampo CDP, California","-","**"
"1600000US0600982","Alleghany CDP, California","-","**"
"1600000US0601094","Almanor CDP, California","-","**"
"1600000US0603026","Aspen Springs CDP, California","-","**"
"1600000US0603092","Atherton town, California","2,000,000+","***"
"1600000US0604576","Beale AFB CDP, California","-","**"
"1600000US0604632","Bear Creek CDP, California","-","**"
"1600000US0604856","Belden CDP, California","-","**"
"1600000US0605164","Belvedere city, California","2,000,000+","***"
"1600000US0606308","Beverly Hills city, California","2,000,000+","***"
"1600000US0606336","Bieber CDP, California","-","**"
"1600000US0606994","Blairsden CDP, California","-","**"
"1600000US0607750","Bowles CDP, California","-","**"
"1600000US0608716","Buck Meadows CDP, California","-","**"
"1600000US0608744","Bucks Lake CDP, California","-","**"
"1600000US0609318","Butte Meadows CDP, California","-","**"
"1600000US0609822","California Hot Springs CDP, California","-","**"
"1600000US0609990","Calpella CDP, California","-","**"
"1600000US0610004","Calpine CDP, California","-","**"
"1600000US0610494","Camp Nelson CDP, California","-","**"
"1600000US0610559","Camp Pendleton North CDP, California","-","**"
"1600000US0610561","Camp Pendleton South CDP, California","-","**"
"1600000US0610732","Canby CDP, California","-","**"
"1600000US0610914","Canyondam CDP, California","-","**"
"1600000US0611166","Caribou CDP, California","-","**"
"1600000US0611376","Carmet CDP, California","-","**"
"1600000US0611481","Carrick CDP, California","-","**"
"1600000US0611600","Cartago CDP, California","-","**"
"1600000US0611782","Cassel CDP, California","-","**"
"1600000US0612314","Cedar Slope CDP, California","-","**"
"1600000US0614008","Cleone CDP, California","-","**"
"1600000US0614106","Clio CDP, California","-","**"
"1600000US0614148","Clipper Mills CDP, California","-","**"
"1600000US0614454","Cold Springs CDP (Tuolumne County), California","-","**"
"1600000US0615030","Comptche CDP, California","-","**"
"1600000US0616714","Courtland CDP, California","-","**"
"1600000US0616762","Cowan CDP, California","-","**"
"1600000US0617232","Creston CDP, California","-","**"
"1600000US0617995","Daphnedale Park CDP, California","-","**"
"1600000US0618450","Delft Colony CDP, California","-","**"
"1600000US0618506","Del Mar city, California","2,000,000+","***"
"1600000US0619150","Diablo CDP, California","2,000,000+","***"
"1600000US0619976","Drytown CDP, California","-","**"
"1600000US0620424","Eagleville CDP, California","-","**"
"1600000US0621138","East Shore CDP, California","-","**"
"1600000US0621600","Edwards AFB CDP, California","-","**"
"1600000US0622146","Elmira CDP, California","-","**"
"1600000US0622286","El Nido CDP, California","-","**"
"1600000US0622360","El Rancho CDP, California","-","**"
"1600000US0623150","Fairbanks Ranch CDP, California","2,000,000+","***"
"1600000US0623532","Fall River Mills CDP, California","-","**"
"1600000US0623630","Farmington CDP, California","-","**"
"1600000US0623980","Fiddletown CDP, California","-","**"
"1600000US0624022","Fields Landing CDP, California","-","**"
"1600000US0624218","Fish Camp CDP, California","-","**"
"1600000US0624526","Floriston CDP, California","-","**"
"1600000US0625114","Fort Irwin CDP, California","-","**"
"1600000US0625590","Freeport CDP, California","-","**"
"1600000US0630339","Gold Mountain CDP, California","-","**"
"1600000US0630420","Goodyears Bar CDP, California","-","**"
"1600000US0630714","Graniteville CDP, California","-","**"
"1600000US0631134","Greenview CDP, California","-","**"
"1600000US0631288","Grimes CDP, California","-","**"
"1600000US0631540","Guinda CDP, California","-","**"
"1600000US0632156","Hardwick CDP, California","-","**"
"1600000US0632324","Hartland CDP, California","-","**"
"1600000US0633336","Herlong CDP, California","-","**"
"1600000US0633518","Hidden Hills city, California","2,000,000+","***"
"1600000US0633798","Hillsborough town, California","2,000,000+","***"
"1600000US0633935","Hiouchi CDP, California","-","**"
"1600000US0634405","Homewood Canyon CDP, California","-","**"
"1600000US0634708","Hornitos CDP, California","-","**"
"1600000US0636098","Hyampom CDP, California","-","**"
"1600000US0636168","Idlewild CDP, California","-","**"
"1600000US0636364","Indian Falls CDP, California","-","**"
"1600000US0636420","Indianola CDP, California","-","**"
"1600000US0636735","Iron Horse CDP, California","-","**"
"1600000US0637274","Jenner CDP, California","-","**"
"1600000US0637400","Johannesburg CDP, California","-","**"
"1600000US0637512","Johnsville CDP, California","-","**"
"1600000US0637904","Keddie CDP, California","-","**"
"1600000US0638076","Kennedy Meadows CDP, California","-","**"
"1600000US0638604","Kingvale CDP, California","-","**"
"1600000US0638646","Kirkwood CDP, California","-","**"
"1600000US0639094","Ladera CDP, California","2,000,000+","***"
"1600000US0639425","Lake Almanor West CDP, California","-","**"
"1600000US0639483","Lake Davis CDP, California","-","**"
"1600000US0640312","La Porte CDP, California","-","**"
"1600000US0640536","Las Flores CDP (Tehama County), California","-","**"
"1600000US0640872","La Vina CDP, California","-","**"
"1600000US0640956","Lebec CDP, California","-","**"
"1600000US0640998","Lee Vining CDP, California","-","**"
"1600000US0641166","Lemoore Station CDP, California","-","**"
"1600000US0641390","Likely CDP, California","-","**"
"1600000US0641740","Linnell Camp CDP, California","-","**"
"1600000US0641789","Little Grass Valley CDP, California","-","**"
"1600000US0641908","Little Valley CDP, California","-","**"
"1600000US0642384","Loma Mar CDP, California","-","**"
"1600000US0642622","Long Barn CDP, California","-","**"
"1600000US0643280","Los Altos city, California","2,000,000+","***"
"1600000US0643294","Los Altos Hills town, California","2,000,000+","***"
"1600000US0644378","Loyola CDP, California","2,000,000+","***"
"1600000US0644672","Mabie CDP, California","-","**"
"1600000US0644760","McClellan Park CDP, California","-","**"
"1600000US0644770","McClenney Tract CDP, California","-","**"
"1600000US0644812","Macdoel CDP, California","-","**"
"1600000US0644830","McGee Creek CDP, California","-","**"
"1600000US0645246","Malibu city, California","2,000,000+","***"
"1600000US0646100","Martell CDP, California","-","**"
"1600000US0646870","Menlo Park city, California","2,000,000+","***"
"1600000US0647472","Milford CDP, California","-","**"
"1600000US0648060","Miranda CDP, California","-","**"
"1600000US0648448","Mohawk Vista CDP, California","-","**"
"1600000US0648602","Mono City CDP, California","-","**"
"1600000US0648844","Montecito CDP, California","2,000,000+","***"
"1600000US0648916","Monterey Park Tract CDP, California","-","**"
"1600000US0648956","Monte Sereno city, California","2,000,000+","***"
"1600000US0649432","Moskowite Corner CDP, California","-","**"
"1600000US0649488","Moss Landing CDP, California","-","**"
"1600000US0649544","Mountain Center CDP, California","-","**"
"1600000US0649768","Mount Hebron CDP, California","-","**"
"1600000US0649810","Mount Laguna CDP, California","-","**"
"1600000US0650146","Myers Flat CDP, California","-","**"
"1600000US0651470","Nipinnawasee CDP, California","-","**"
"1600000US0652610","Nubieber CDP, California","-","**"
"1600000US0653196","Oakville CDP, California","-","**"
"1600000US0653378","Ocotillo CDP, California","-","**"
"1600000US0653602","Old Station CDP, California","-","**"
"1600000US0655044","Pajaro CDP, California","-","**"
"1600000US0655282","Palo Alto city, California","2,000,000+","***"
"1600000US0655422","Palo Verde CDP, California","-","**"
"1600000US0655506","Panorama Heights CDP, California","-","**"
"1600000US0656140","Patton Village CDP, California","-","**"
"1600000US0656182","Paxton CDP, California","-","**"
"1600000US0656294","Pearsonville CDP, California","-","**"
"1600000US0656854","Phillipsville CDP, California","-","**"
"1600000US0657011","Pierpoint CDP, California","-","**"
"1600000US0657036","Pike CDP, California","-","**"
"1600000US0657960","Point Reyes Station CDP, California","-","**"
"1600000US0658134","Ponderosa CDP, California","-","**"
"1600000US0658226","Port Costa CDP, California","-","**"
"1600000US0658380","Portola Valley town, California","2,000,000+","***"
"1600000US0658422","Posey CDP, California","-","**"
"1600000US0658436","Poso Park CDP, California","-","**"
"1600000US0658618","Prattville CDP, California","-","**"
"1600000US0659584","Rancho Santa Fe CDP, California","2,000,000+","***"
"1600000US0659668","Randsburg CDP, California","-","**"
"1600000US0659906","Redcrest CDP, California","-","**"
"1600000US0661012","Ripley CDP, California","-","**"
"1600000US0662200","Robinson Mill CDP, California","-","**"
"1600000US0662496","Rodriguez Camp CDP, California","-","**"
"1600000US0662602","Rolling Hills city, California","2,000,000+","***"
"1600000US0662980","Ross town, California","2,000,000+","***"
"1600000US0663400","Rutherford CDP, California","-","**"
"1600000US0664252","Salmon Creek CDP, California","-","**"
"1600000US0664392","Samoa CDP, California","-","**"
"1600000US0670280","Saratoga city, California","2,000,000+","***"
"1600000US0670336","Sattley CDP, California","-","**"
"1600000US0670518","Scotia CDP, California","-","**"
"1600000US0670966","Sequoia Crest CDP, California","-","**"
"1600000US0671000","Sereno del Mar CDP, California","-","**"
"1600000US0671680","Shoshone CDP, California","-","**"
"1600000US0671848","Sierraville CDP, California","-","**"
"1600000US0671932","Silver City CDP, California","-","**"
"1600000US0672492","Soda Springs CDP, California","-","**"
"1600000US0673654","Spring Garden CDP, California","-","**"
"1600000US0674144","Stevinson CDP, California","-","**"
"1600000US0674186","Stirling City CDP, California","-","**"
"1600000US0675168","Storrie CDP, California","-","**"
"1600000US0675322","Strawberry CDP (Tuolumne County), California","-","**"
"1600000US0675588","Sugarloaf Mountain Park CDP, California","-","**"
"1600000US0675592","Sugarloaf Saw Mill CDP, California","-","**"
"1600000US0675596","Sugarloaf Village CDP, California","-","**"
"1600000US0678008","Taylorsville CDP, California","-","**"
"1600000US0678176","Tennant CDP, California","-","**"
"1600000US0678652","Three Rocks CDP, California","-","**"
"1600000US0678666","Tiburon town, California","2,000,000+","***"
"1600000US0678792","Tobin CDP, California","-","**"
"1600000US0678932","Tonyville CDP, California","-","**"
"1600000US0678949","Tooleville CDP, California","-","**"
"1600000US0679030","Topaz CDP, California","-","**"
"1600000US0680515","Trona CDP, California","-","**"
"1600000US0680784","Tupman CDP, California","-","**"
"1600000US0680882","Tuttle CDP, California","-","**"
"1600000US0680952","Twain CDP, California","-","**"
"1600000US0681302","University of California-Davis CDP, California","-","**"
"1600000US0681312","University of California-Merced CDP, California","-","**"
"1600000US0681778","Valley Ford CDP, California","-","**"
"1600000US0681869","Valley Ranch CDP, California","-","**"
"1600000US0681925","Valley Wells CDP, California","-","**"
"1600000US0682072","Vandenberg AFB CDP, California","-","**"
"1600000US0682562","Victor CDP, California","-","**"
"1600000US0683094","Volcano CDP, California","-","**"
"1600000US0683108","Volta CDP, California","-","**"
"1600000US0683494","Warner Valley CDP, California","-","**"
"1600000US0683766","Wawona CDP, California","-","**"
"1600000US0684480","Westley CDP, California","-","**"
"1600000US0684536","West Menlo Park CDP, California","2,000,000+","***"
"1600000US0684863","Westside CDP, California","-","**"
"1600000US0685866","Wilsonia CDP, California","-","**"
"1600000US0686020","Winterhaven CDP, California","-","**"
"1600000US0686440","Woodside town, California","2,000,000+","***"
"1600000US0686734","Yettem CDP, California","-","**"
"1600000US0686912","Yosemite Valley CDP, California","-","**"
"1600000US0686804","Yolo CDP, California","179200","159816"
"1600000US0616651","Country Club CDP, California","204400","18959"
"1600000US0621061","East Richmond Heights CDP, California","544700","45505"
"1600000US0620270","Durham CDP, California","469400","55273"
"1600000US0651336","Nicolaus CDP, California","392900","208993"
"1600000US0627080","Fruitdale CDP, California","774300","116627"
"1600000US0660942","Rio Linda CDP, California","242100","8971"
"1600000US0673276","South San Gabriel CDP, California","486600","26679"
"1600000US0609360","Cabazon CDP, California","153500","52088"
"1600000US0657148","Pine Grove CDP, California","287800","32812"
"1600000US0684578","West Modesto CDP, California","134900","15091"
"1600000US0675672","Sultana CDP, California","105900","31916"
"1600000US0640746","Laton CDP, California","121000","17609"
"1600000US0686944","Yreka city, California","152400","10304"
"1600000US0614974","Commerce city, California","385100","16831"
"1600000US0666004","San Diego Country Estates CDP, California","470200","12573"
"1600000US0657204","Pine Hills CDP, California","317800","27638"
"1600000US0616322","Corning city, California","160700","11057"
"1600000US0602112","Angels city, California","306000","52095"
"1600000US0646632","Meadow Vista CDP, California","457400","44594"
"1600000US0683332","Walnut city, California","739100","16965"
"1600000US0644028","Los Banos city, California","265500","12487"
"1600000US0664294","Salton City CDP, California","125300","10814"
"1600000US0636770","Irvine city, California","797100","13140"
"1600000US0648354","Modesto city, California","265100","3647"
"1600000US0660242","Reedley city, California","187800","14678"
"1600000US0630410","Good Hope CDP, California","228600","33080"
"1600000US0651294","Nice CDP, California","146300","26073"
"1600000US0667126","San Joaquin city, California","153800","45288"
"1600000US0601290","Altadena CDP, California","692800","14695"
"1600000US0640438","Larkspur city, California","1264800","108951"
"1600000US0646114","Martinez city, California","557700","14117"
"1600000US0675994","Sunnyside CDP, California","291900","15685"
"1600000US0644910","McKinleyville CDP, California","292000","10784"
"1600000US0619318","Dinuba city, California","180500","9734"
"1600000US0677392","Sutter Creek city, California","349600","44524"
"1600000US0671806","Sierra Madre city, California","924400","31148"
"1600000US0602700","Armona CDP, California","137500","20391"
"1600000US0601164","Alpaugh CDP, California","77100","20131"
"1600000US0660620","Richmond city, California","422300","9657"
"1600000US0631029","Greenhorn CDP, California","218800","44196"
"1600000US0657540","Placerville city, California","333600","20219"
"1600000US0668434","San Simeon CDP, California","415400","162583"
"1600000US0606406","Big Bear City CDP, California","248800","15355"
"1600000US0655184","Palm Desert city, California","335400","10151"
"1600000US0659506","Rancho Murieta CDP, California","443500","20312"
"1600000US0601228","Alpine Village CDP, California","381300","117025"
"1600000US0672576","Solvang city, California","680200","44774"
"1600000US0678750","Tipton CDP, California","115600","19921"
"1600000US0646492","Maywood city, California","375600","13885"
"1600000US0675630","Suisun City city, California","333800","7189"
"1600000US0652764","Oakhurst CDP, California","229300","30460"
"1600000US0636658","Inyokern CDP, California","174400","90291"
"1600000US0644280","Lost Hills CDP, California","119300","24526"
"1600000US0686300","Woodlake city, California","154300","16663"
"1600000US0643252","Los Alamos CDP, California","470700","118028"
"1600000US0655751","Parksdale CDP, California","215800","19001"
"1600000US0684120","West Bishop CDP, California","440300","25799"
"1600000US0621964","Elizabeth Lake CDP, California","261100","33961"
"1600000US0645400","Manhattan Beach city, California","1947900","102230"
"1600000US0647192","Mexican Colony CDP, California","67000","37434"
"1600000US0619440","Dogtown CDP, California","517900","62066"
"1600000US0619878","Doyle CDP, California","133000","43065"
"1600000US0616090","Contra Costa Centre CDP, California","625400","56280"
"1600000US0678715","Timber Cove CDP, California","475000","339060"
"1600000US0650034","Murphys CDP, California","312100","40661"
"1600000US0646884","Mentone CDP, California","300100","19751"
"1600000US0608786","Buena Park city, California","540200","11717"
"1600000US0614904","Columbia CDP, California","250000","50749"
"1600000US0604198","Bass Lake CDP, California","684000","183809"
"1600000US0675714","Summerland CDP, California","1326900","635032"
"1600000US0618485","Delleker CDP, California","247100","61273"
"1600000US0611691","Casa de Oro-Mount Helix CDP, California","644600","9705"
"1600000US0645064","Madison CDP, California","208000","60416"
"1600000US0630882","Grayson CDP, California","223300","54429"
"1600000US0677805","Tamalpais-Homestead Valley CDP, California","1169800","48192"
"1600000US0639420","Lake Almanor Peninsula CDP, California","375000","138317"
"1600000US0670042","Santa Paula city, California","366300","14220"
"1600000US0639304","La Habra Heights city, California","960500","67724"
"1600000US0639114","Ladera Ranch CDP, California","818300","24125"
"1600000US0606798","Bishop city, California","302200","33732"
"1600000US0641124","Lemon Grove city, California","402000","12008"
"1600000US0608954","Burbank city, California","688500","10933"
"1600000US0652162","North Richmond CDP, California","314000","42082"
"1600000US0659550","Rancho San Diego CDP, California","586900","18626"
"1600000US0606070","Berry Creek CDP, California","166000","15477"
"1600000US0609892","Calistoga city, California","554600","67272"
"1600000US0612902","Cherryland CDP, California","428000","28187"
"1600000US0618856","Denair CDP, California","304600","36365"
"1600000US0682786","Vina CDP, California","138100","118838"
"1600000US0622370","El Rio CDP, California","420200","25971"
"1600000US0677364","Susanville city, California","166900","7544"
"1600000US0640508","La Selva Beach CDP, California","929900","56080"
"1600000US0600478","Ahwahnee CDP, California","307400","61129"
"1600000US0681792","Valley Home CDP, California","450000","65767"
"1600000US0642468","Lomita city, California","586200","20378"
"1600000US0613157","China Lake Acres CDP, California","128500","41541"
"1600000US0631596","Hacienda Heights CDP, California","570600","8543"
"1600000US0651820","North El Monte CDP, California","623500","16255"
"1600000US0602924","Arvin city, California","154600","6153"
"1600000US0641922","Live Oak CDP, California","668700","29466"
"1600000US0604996","Bell Gardens city, California","380100","20744"
"1600000US0600618","Alamo CDP, California","1606800","38462"
"1600000US0651890","North Gate CDP, California","1152800","381667"
"1600000US0680644","Tulare city, California","188900","5037"
"1600000US0649187","Moraga town, California","1093600","27155"
"1600000US0659892","Red Bluff city, California","160700","8273"
"1600000US0627000","Fresno city, California","224600","2550"
"1600000US0646226","Mather CDP, California","336500","17542"
"1600000US0648676","Monson CDP, California","197200","139919"
"1600000US0651476","Nipomo CDP, California","500000","32795"
"1600000US0639318","La Honda CDP, California","662800","75937"
"1600000US0630000","Glendale city, California","724800","14649"
"1600000US0660662","Richvale CDP, California","270800","98104"
"1600000US0652582","Novato city, California","732200","18721"
"1600000US0656938","Piedmont city, California","1844000","153056"
"1600000US0636280","Imperial city, California","226500","11567"
"1600000US0660606","Richgrove CDP, California","108500","8172"
"1600000US0641880","Littlerock CDP, California","222300","29739"
"1600000US0600450","Agua Dulce CDP, California","599700","42817"
"1600000US0633861","Hilmar-Irwin CDP, California","267600","21489"
"1600000US0631372","Groveland CDP, California","291100","126682"
"1600000US0619262","Dillon Beach CDP, California","983700","624638"
"1600000US0602210","Antelope CDP, California","299400","7711"
"1600000US0602364","Apple Valley town, California","237100","7168"
"1600000US0673178","South Oroville CDP, California","140400","19888"
"1600000US0630900","Greeley Hill CDP, California","259300","38420"
"1600000US0671106","Shafter city, California","170100","5564"
"1600000US0660279","Reliez Valley CDP, California","940900","41755"
"1600000US0662910","Rosemont CDP, California","270700","5937"
"1600000US0616728","Covelo CDP, California","221100","32490"
"1600000US0642580","Lone Pine CDP, California","250000","128153"
"1600000US0631568","Gustine city, California","195000","28537"
"1600000US0623196","Fairhaven CDP, California","250000","152039"
"1600000US0623462","Fallbrook CDP, California","499800","21048"
"1600000US0633532","Hidden Meadows CDP, California","558600","49754"
"1600000US0662364","Rocklin city, California","452100","7000"
"1600000US0650188","Myrtletown CDP, California","273100","15578"
"1600000US0672996","South El Monte city, California","428200","12215"
"1600000US0662854","Rosedale CDP, California","385800","15660"
"1600000US0685551","Wilkerson CDP, California","283600","31691"
"1600000US0646828","Mendota city, California","152200","8191"
"1600000US0606928","Blackhawk CDP, California","1267400","73319"
"1600000US0605346","Benton CDP, California","187500","171170"
"1600000US0612300","Cedar Ridge CDP, California","257700","20827"
"1600000US0621530","Edgewood CDP, California","171900","107614"
"1600000US0613882","Clayton city, California","710800","27079"
"1600000US0611530","Carson city, California","434000","5537"
"1600000US0672506","Solana Beach city, California","1137100","46057"
"1600000US0644924","McKittrick CDP, California","43800","18313"
"1600000US0633588","Highland city, California","309300","10794"
"1600000US0639444","Lake Arrowhead CDP, California","381900","28193"
"1600000US0641670","Linden CDP, California","359200","27311"
"1600000US0681134","Ukiah city, California","330300","17984"
"1600000US0624918","Forest Ranch CDP, California","285300","178980"
"1600000US0639045","La Crescenta-Montrose CDP, California","770900","36783"
"1600000US0669000","Santa Ana city, California","455300","5173"
"1600000US0612594","Chalfant CDP, California","283300","79515"
"1600000US0616532","Costa Mesa city, California","707600","12291"
"1600000US0672646","Sonoma city, California","728200","56325"
"1600000US0646702","Meiners Oaks CDP, California","609600","46518"
"1600000US0639108","Ladera Heights CDP, California","952000","51652"
"1600000US0624834","Foresthill CDP, California","349500","80076"
"1600000US0678456","Thermal CDP, California","119300","85212"
"1600000US0634316","Homeland CDP, California","119600","37020"
"1600000US0647430","Midway City CDP, California","498800","57722"
"1600000US0624477","Florence-Graham CDP, California","333300","10712"
"1600000US0604758","Beaumont city, California","296700","5227"
"1600000US0685922","Windsor town, California","563800","13467"
"1600000US0683612","Waterford city, California","223500","13694"
"1600000US0634694","Hornbrook CDP, California","95000","72826"
"1600000US0668000","San Jose city, California","793100","4672"
"1600000US0619990","Duarte city, California","455600","11100"
"1600000US0671778","Sierra City CDP, California","340000","109451"
"1600000US0613014","Chico city, California","305300","8048"
"1600000US0626000","Fremont city, California","863800","8535"
"1600000US0678596","Thousand Palms CDP, California","165400","16860"
"1600000US0657302","Piï¿½on Hills CDP, California","222300","32396"
"1600000US0607379","Bonadelle Ranchos-Madera Ranchos CDP, California","297500","16573"
"1600000US0655856","Parlier city, California","152400","12182"
"1600000US0607624","Bostonia CDP, California","334300","44171"
"1600000US0655604","Paradise Park CDP, California","294800","141887"
"1600000US0670182","Santa Ynez CDP, California","817600","49525"
"1600000US0685880","Wilton CDP, California","560100","48965"
"1600000US0619402","Dixon city, California","357800","8466"
"1600000US0617750","Cypress city, California","605600","8181"
"1600000US0603162","Atwater city, California","207800","9745"
"1600000US0660592","Richfield CDP, California","218300","37022"
"1600000US0670028","Santa Nella CDP, California","255800","47081"
"1600000US0602910","Artois CDP, California","173500","124295"
"1600000US0638702","Klamath CDP, California","112500","39087"
