city,application,address,zoning,totalUnits,singleFamily,multiFamily,totalUnitsNet,singleFamilyNet,multiFamilyNet,affordability,planningVote,planningApprove,architectureVote,architectureApprove,councilVote,councilApprove,finalApproval,year,redesign,Notes,,,,,,,
Santa Barbara,MST2006-00530,535 E Montecito St,0,48,0,48,48,0,48,1,2009-08-21,1,2010-04-19,1,2009-02-24,1,2010-06-28,2009,0,,,,,,,,
Santa Barbara,MST2004-00493,1298 Coast Village Road,0,8,0,8,8,0,8,0,2008-03-20,1,2009-02-23,1,2009-06-02,1,2009-06-02,2009,0,,,,,,,,
Santa Barbara,MST2009-00500,401 1/2 Old Coast Hwy,0,1,0,1,1,0,1,0,2010-06-10,0,2010-01-11,1,2010-08-17,1,2011-04-11,2010,1,City Council vote trumps,,,,,,,
Santa Barbara,MST2005-00742,900 Calle De Los Amigos,0,40,0,40,37,0,37,0,2011-04-14,1,2011-09-06,1,2011-06-14,1,2011-12-12,2011,0,,,,,,,,
Santa Barbara,MST2010-00186,1233 Mission Ridge Road,0,2,2,0,1,1,0,0,2011-03-10,1,2011-04-25,1,2011-07-19,1,2012-12-17,2011,0,,,,,,,,
Santa Barbara,MST2009-00388,903 W Mission Street,0,1,0,1,1,1,0,0,,,2010-08-23,1,2011-08-23,1,2011-08-23,2011,0,City Council had to deny appeals after both ABR design approval and ABR final approval,,,,,,,
Santa Barbara,MST2009-00083,415 Alan Road,0,1,1,0,1,1,0,0,2011-03-03,0,,,2012-02-14,1,2012-02-14,2012,1,Previous design pre-2010,,,,,,,
Santa Barbara,MST2012-00048,901 Olive Street,0,19,0,19,19,0,19,0,,,2012-06-11,1,2012-09-11,1,2012-10-15,2012,0,,,,,,,,
Santa Barbara,MST2013-00169,1330 Chapala Street,0,33,0,33,33,0,33,0,,,2013-08-14,1,2013-10-29,1,2015-05-20,2013,0,Upheld Historic Lankmarks Commission approval,,,,,,,
Santa Barbara,MST2013-00212,510 N Salsipuedes Street,0,40,0,40,40,0,40,1,,,2013-09-16,1,2013-11-26,1,2014-05-20,2014,0,"Appealed twice to City Council, I use 2nd discretionary appeal",,,,,,,
Santa Barbara,MST2013-00281,3435 Marina Drive,0,1,1,0,1,1,0,0,,,2014-09-22,1,2014-11-08,1,2015-03-09,2014,0,"City Council appealed twice, but can't find minutes to second approval, going to go with 2014",,,,,,,
Santa Barbara,MST2013-00505,3626 San Remo Drive,0,1,1,0,1,1,0,0,,,,,2014-11-25,1,2015-02-09,2014,0,,,,,,,,
Santa Barbara,MST2014-00149,511 Brosian Way,0,1,1,0,1,1,0,0,2014-11-06,1,2014-12-15,1,2015-01-27,1,2015-06-01,2015,0,,,,,,,,
Santa Barbara,MST2014-00418,2405 State Street,0,1,1,0,1,1,0,0,,,2015-02-23,1,2015-04-21,1,2015-04-21,2015,0,,,,,,,,
Santa Barbara,MST2017-00361,806 Alberta Avenue,0,1,1,1,1,0,1,0,,,,,2015-11-17,1,2015-11-17,2015,0,,,,,,,,Come back with more
Santa Barbara,MST2015-00500,1818 Castillo Street,0,7,0,7,5,0,5,0,,,2016-01-04,1,2016-03-08,1,2017-10-09,2016,0,Went with CC approval,,,,,,,
Santa Barbara,MST2014-00142,251 S Hope Ave,0,90,0,90,89,0,89,1,2016-02-18,1,2016-06-06,1,2016-05-03,1,2016-12-19,2016,0,2 City Council appeals (PC and ABR),,,,,,,
Santa Barbara,MST2017-00030,1625 Overlook Lane,0,1,1,0,0,0,0,0,,,2017-05-15,1,2017-09-17,1,2018-09-17,2017,0,,,,,,,,
Santa Barbara,MST2004-00493,1298 Coast Village Road,0,5,0,5,-3,0,-3,0,2018-01-11,1,2017-08-14,0,2017-10-03,1,2017-10-03,2017,1,,,,,,,,
Santa Barbara,MST2015-00023,800 Santa Barbara St,0,23,0,23,23,0,23,0,,,2017-08-09,1,2018-01-23,1,2018-09-19,2018,0,No PC or ABR,,,,,,,
Santa Barbara,MST2018-00305,917 Paseo Ferrelo,0,0,0,0,0,0,0,0,,,,,2018-10-02,1,2018-10-02,2018,0,"No new units, just glass",,,,,,,
Santa Barbara,MST2017-00713,104 Jorgensen Lane,0,1,0,1,1,0,1,0,2018-10-04,1,,,2018-12-04,1,2018-12-04,2018,0,,,,,,,,
Santa Barbara,MST2018-00410,2444 Santa Barbara St,0,0,0,0,0,0,0,0,,,,,2019-01-15,1,2019-01-15,2019,0,"No new units, just glass",,,,,,,
Santa Barbara,MST2015-00561,711 N Milpas Street,0,76,0,76,74,0,74,0,,,2016-06-20,0,2019-03-26,1,2019-03-26,2019,0,"Died in ABR Final, then revived by CC",,,,,,,
Santa Barbara,MST2008-00322,412 Anacapa St,0,3,0,3,3,0,3,0,2009-04-02,1,2013-10-28,1,,,2013-01-21,2013,0,Debatable given ABR dates,,,,,,,
Santa Barbara,MST2007-00470,505 W Los Olivos St,0,13,0,13,6,0,6,0,2009-06-04,1,2009-08-10,1,,,2013-02-04,2013,1,Original approved in 2009,,,,,,,
Santa Barbara,MST2009-00469,512 Bath St,0,53,0,53,43,0,43,1,2010-07-15,1,2010-07-26,1,,,2011-05-16,2011,0,,,,,,,,
Santa Barbara,MST2009-00332,1032 E Mason St,0,6,0,6,4,0,4,1,2010-12-16,1,2011-07-25,1,,,2011-10-24,2011,0,,,,,,,,
Santa Barbara,MST2009-00536,1820 De La Vina Street,0,40,0,40,35,0,35,1,2011-09-22,1,2012-04-16,1,,,2012-07-23,2012,0,,,,,,,,
Santa Barbara,MST2011-00182,822 E Canon Perdido St,0,12,0,12,10,0,10,1,2012-01-12,1,2012-03-05,1,,,2012-08-27,2012,0,,,,,,,,
Santa Barbara,MST2011-00220,1255 Coast Village Road,0,2,0,2,2,0,2,0,2012-02-09,1,2012-04-16,1,,,2012-09-04,2012,0,2015 approval for bike racks? Bizarre,,,,,,,
Santa Barbara,MST2008-00119,2215 Edgewater Way,0,1,1,0,1,1,0,0,2013-02-21,1,2013-10-28,1,,,2013-10-28,2013,0,,,,,,,,
Santa Barbara,MST2012-00443,3714 State Street,0,72,0,72,72,0,72,0,2014-04-03,1,2015-04-13,1,,,2015-12-14,2015,1,Original 73 units approved in 2010 by 2 City Council appeals,,,,,,,
Santa Barbara,MST2013-00022,240 W Alamar Avenue,0,4,0,4,3,0,3,1,2014-07-17,1,2014-08-18,1,,,2014-11-17,2014,0,"Teardown single family home, build 4 price restricted units",,,,,,,
Santa Barbara,MST2014-00086,1829 Mira Vista Rd,0,0,0,0,0,0,0,0,2015-02-19,1,2015-04-08,1,,,2015-04-08,2015,0,Conversion from apt to condo,,,,,,,
Santa Barbara,MST2015-00037,102 La Marina Drive,0,1,1,0,0,0,0,0,2015-05-07,1,,,,,2015-05-07,2015,0,,,,,,,,
Santa Barbara,MST2014-00411,2321 Edgewater Way,0,1,1,0,0,0,0,0,2015-11-05,1,2016-05-16,1,,,2016-07-05,2016,0,,,,,,,,
Santa Barbara,MST2007-00470,505 W Los Olivos St,0,13,0,13,6,0,6,0,2017-05-18,1,2017-05-22,1,,,2017-05-30,2017,1,Original approved in 2009,,,,,,,
Santa Barbara,MST2016-00447,214 E De La Guerra St,0,26,0,26,24,0,24,0,2017-07-06,1,2017-09-06,1,,,2017-12-13,2017,0,,,,,,,,
Santa Barbara,MST2016-00327,1201 Del Oro Avenue,0,1,1,0,0,0,0,0,2018-02-01,1,,,,,2018-02-01,2018,0,,,,,,,,
Santa Barbara,MST2017-00097,408 N Hope Ave,0,0,0,0,0,0,0,0,2018-05-10,1,,,,,2018-05-10,2018,0,Just lot subdivision,,,,,,,
Santa Barbara,,110 Bodega Lane,1,7,0,7,7,0,7,0,,1,,,,1,,2013,0,,,,,,,,
Santa Barbara,,98 Hitchcock Way,1,14,0,14,14,0,14,0,,1,,,,1,,2013,0,,,,,,,,
Santa Barbara,,3826 Via Lucero,1,7,0,7,7,0,7,0,,1,,,,1,,2013,0,,,,,,,,
Santa Barbara,,400 Samarkand Dr,1,7,0,7,7,0,7,0,,1,,,,1,,2013,0,,,,,,,,
Santa Barbara,,230 Constance Ave,1,7,0,7,7,0,7,0,,1,,,,1,,2013,0,,,,,,,,
Santa Barbara,,100 W Padre St,1,7,0,7,7,0,7,0,,1,,,,1,,2013,0,,,,,,,,
Santa Barbara,,2235 Castillo St,1,7,0,7,7,0,7,0,,1,,,,1,,2013,0,,,,,,,,
Santa Barbara,,1900 Chapala St,1,7,0,7,7,0,7,0,,1,,,,1,,2013,0,,,,,,,,
Santa Barbara,,1700 Chapala St,1,7,0,7,7,0,7,0,,1,,,,1,,2013,0,,,,,,,,
Santa Barbara,,399 W Islay St,1,7,0,7,7,0,7,0,,1,,,,1,,2013,0,,,,,,,,
Santa Barbara,,600 W Valerio St,1,7,0,7,7,0,7,0,,1,,,,1,,2013,0,,,,,,,,
Santa Barbara,,1315 San Pascual St,1,7,0,7,7,0,7,0,,1,,,,1,,2013,0,,,,,,,,
Santa Barbara,,499 W Sola St,1,7,0,7,7,0,7,0,,1,,,,1,,2013,0,,,,,,,,
Santa Barbara,,1300 De La Vina St,1,14,0,14,14,0,14,0,,1,,,,1,,2013,0,,,,,,,,
Santa Barbara,,299 W Figueroa St,1,14,0,14,14,0,14,0,,1,,,,1,,2013,0,,,,,,,,
Santa Barbara,,899 San Pascual St,1,7,0,7,7,0,7,0,,1,,,,1,,2013,0,,,,,,,,
Santa Barbara,,765 W Ortega St,1,7,0,7,7,0,7,0,,1,,,,1,,2013,0,,,,,,,,
Santa Barbara,,620 W Gutierrez St,1,7,0,7,7,0,7,0,,1,,,,1,,2013,0,,,,,,,,
Santa Barbara,,299 W Haley St,1,14,0,14,14,0,14,0,,1,,,,1,,2013,0,,,,,,,,
Santa Barbara,,315 W De La Guerra St,1,14,0,14,14,0,14,0,,1,,,,1,,2013,0,,,,,,,,
Santa Barbara,,1001 State St,1,14,0,14,14,0,14,0,,1,,,,1,,2013,0,,,,,,,,
Santa Barbara,,1400 Garden St,1,7,0,7,7,0,7,0,,1,,,,1,,2013,0,,,,,,,,
Santa Barbara,,300 E Cota St,1,14,0,14,14,0,14,0,,1,,,,1,,2013,0,,,,,,,,
Santa Barbara,,1000 N Nopal St,1,7,0,7,7,0,7,0,,1,,,,1,,2013,0,,,,,,,,
Santa Barbara,,500 N Nopal St,1,14,0,14,14,0,14,0,,1,,,,1,,2013,0,,,,,,,,
Santa Barbara,,100 N Nopal St,1,7,0,7,7,0,7,0,,1,,,,1,,2013,0,,,,,,,,
Santa Barbara,,999 Alphonse St,1,7,0,7,7,0,7,0,,1,,,,1,,2013,0,,,,,,,,
Santa Barbara,,1211 Punta Gorda St,1,7,0,7,7,0,7,0,,1,,,,1,,2013,0,,,,,,,,